Periode,Total Aset (Jutaan Rp),Kredit yang Diberikan (Jutaan Rp),Laba_Bersih,Dana Pihak Ketiga (Giro+Tab+Dep),Harga_Close
2020-03-01,953.701.928,597.728.368,6.103.979,735.702.625,5208.92041015625
2020-02-01,916.603.266,574.897.718,4.333.895,704.889.452,5366.26513671875
2020-01-01,896.809.336,9.146.392,2.910.497,692.441.809,5536.03125
2019-12-01,899.009.585,588.250.950,27.351.120,699.304.586,5184.23486328125
2019-11-01,885.157.294,569.805.113,25.398.590,684.383.015,5221.3828125
2019-10-01,886.571.333,566.385.581,22.755.906,679.389.451,4986.11083984375
2019-09-01,875.677.023,570.625.590,20.149.066,677.932.407,5035.6416015625
2019-08-01,866.663.285,563.120.024,18.014.993,676.425.244,5126.447265625
2019-07-01,867.008.857,558.241.123,15.214.857,674.548.877,4944.8349609375
2019-06-01,853.642.798,551.677.550,12.331.978,668.719.478,4804.49658203125
2019-05-01,849.700.956,554.881.692,9.923.304,659.892.710,4746.7099609375
2019-04-01,823.403.475,542.590.078,7.612.377,637.898.881,4499.203125
2019-03-01,814.559.087,532.123.564,5.619.831,629.688.441,4531.92431640625
2019-02-01,817.853.592,529.353.071,3.811.613,627.082.103,4609.6376953125
2019-01-01,896.809.336,573.089.527,2.910.497,692.441.809,4253.79248046875
2018-12-01,808.636.008,537.914.433,24.761.199,630.094.951,4248.06640625
2018-11-01,788.059.971,526.936.860,22.602.804,614.538.691,3881.14990234375
2018-10-01,793.381.963,522.304.391,19.984.578,616.042.256,3905.611572265625
2018-09-01,783.814.134,515.563.085,17.751.395,613.968.157,4044.2236328125
2018-08-01,783.129.376,502.765.088,15.939.179,612.788.774,3828.15185546875
2018-07-01,784.192.878,495.229.865,13.655.724,612.757.820,3502.00439453125
2018-06-01,776.590.042,494.419.514,10.897.622,615.730.226,3701.770263671875
2018-05-01,765.387.700,486.509.139,8.687.038,603.666.693,3603.92578125
2018-04-01,751.651.321,479.215.627,6.781.261,588.859.880,3770.8916015625
2018-03-01,745.043.491,470.052.360,5.068.382,583.614.992,3750.660888671875
